date,category,type,amount,description,payment_method
2024-05-30,Bônus,receita,2976.23,Bônus — transação automática,Cartão de Crédito
2023-02-25,Alimentação,despesa,286.31,Alimentação — transação automática,Pix
2023-04-07,Moradia,despesa,634.23,Moradia — transação automática,Boleto
2022-08-12,Alimentação,despesa,485.06,Alimentação — transação automática,Transferência
2023-11-15,Bônus,receita,7968.68,Bônus — transação automática,Transferência
2022-11-19,Alimentação,despesa,55.42,Alimentação — transação automática,Pix
2023-05-27,Bônus,receita,5118.36,Bônus — transação automática,Transferência
2022-10-30,Assinaturas,despesa,724.9,Assinaturas — transação automática,Cartão de Crédito
2024-02-01,Lazer,despesa,507.44,Lazer — transação automática,Pix
2024-10-28,Salário,receita,4036.22,Salário — transação automática,Cartão de Crédito
2022-12-05,Bônus,receita,4429.14,Bônus — transação automática,Débito
2023-10-05,Manutenção,despesa,277.52,Manutenção — transação automática,Cartão de Crédito
2023-01-22,Transporte,despesa,580.43,Transporte — transação automática,Pix
2023-12-12,Educação,despesa,618.96,Educação — transação automática,Cartão de Crédito
2023-09-06,Assinaturas,despesa,456.01,Assinaturas — transação automática,Pix
2022-09-11,Bônus,receita,3994.0,Bônus — transação automática,Boleto
2023-02-23,Saúde,despesa,649.21,Saúde — transação automática,Boleto
2023-02-17,Lazer,despesa,385.6,Lazer — transação automática,Cartão de Crédito
2024-08-28,Freelance,receita,4774.02,Freelance — transação automática,Pix
2024-12-02,Assinaturas,despesa,593.56,Assinaturas — transação automática,Cartão de Crédito
2023-06-16,Lazer,despesa,406.22,Lazer — transação automática,Pix
2024-01-14,Transporte,despesa,170.79,Transporte — transação automática,Boleto
2023-08-02,Saúde,despesa,254.73,Saúde — transação automática,Pix
2023-01-09,Salário,receita,2767.69,Salário — transação automática,Boleto
2022-02-27,Moradia,despesa,416.18,Moradia — transação automática,Débito
2023-08-03,Vestuário,despesa,362.1,Vestuário — transação automática,Pix
2023-06-26,Vestuário,despesa,68.15,Vestuário — transação automática,Débito
2022-08-22,Salário,receita,4195.0,Salário — transação automática,Débito
2024-05-05,Moradia,despesa,412.24,Moradia — transação automática,Boleto
2024-05-18,Freelance,receita,2063.32,Freelance — transação automática,Boleto
2024-03-14,Rendimentos,receita,5914.97,Rendimentos — transação automática,Pix
2023-08-28,Transporte,despesa,475.9,Transporte — transação automática,Cartão de Crédito
2024-12-23,Saúde,despesa,292.68,Saúde — transação automática,Débito
2024-06-11,Vestuário,despesa,224.65,Vestuário — transação automática,Transferência
2023-06-13,Impostos,despesa,260.73,Impostos — transação automática,Boleto
2024-01-19,Lazer,despesa,549.14,Lazer — transação automática,Débito
2023-08-19,Impostos,despesa,643.23,Impostos — transação automática,Transferência
2023-10-08,Lazer,despesa,278.47,Lazer — transação automática,Débito
2024-12-01,Educação,despesa,23.83,Educação — transação automática,Cartão de Crédito
2023-04-28,Manutenção,despesa,180.82,Manutenção — transação automática,Transferência
2023-03-29,Assinaturas,despesa,329.73,Assinaturas — transação automática,Boleto
2024-12-12,Moradia,despesa,563.76,Moradia — transação automática,Boleto
2023-07-22,Moradia,despesa,309.92,Moradia — transação automática,Cartão de Crédito
2022-11-12,Rendimentos,receita,4055.84,Rendimentos — transação automática,Transferência
2023-02-15,Moradia,despesa,375.03,Moradia — transação automática,Débito
2023-07-25,Educação,despesa,685.48,Educação — transação automática,Boleto
2024-12-01,Educação,despesa,603.88,Educação — transação automática,Cartão de Crédito
2023-01-29,Salário,receita,1868.45,Salário — transação automática,Transferência
2024-11-20,Lazer,despesa,329.6,Lazer — transação automática,Cartão de Crédito
2023-04-03,Moradia,despesa,5.0,Moradia — transação automática,Boleto
2023-01-16,Salário,receita,8327.79,Salário — transação automática,Cartão de Crédito
2022-07-30,Impostos,despesa,248.15,Impostos — transação automática,Boleto
2022-10-29,Bônus,receita,6918.1,Bônus — transação automática,Cartão de Crédito
2024-09-03,Impostos,despesa,699.54,Impostos — transação automática,Pix
2023-09-13,Transporte,despesa,25.23,Transporte — transação automática,Débito
2024-01-02,Saúde,despesa,150.92,Saúde — transação automática,Débito
2022-12-16,Bônus,receita,5803.58,Bônus — transação automática,Boleto
2022-03-23,Rendimentos,receita,1954.5,Rendimentos — transação automática,Transferência
2023-10-23,Transporte,despesa,300.53,Transporte — transação automática,Boleto
2023-07-14,Vestuário,despesa,115.95,Vestuário — transação automática,Boleto
2024-08-23,Moradia,despesa,293.16,Moradia — transação automática,Cartão de Crédito
2022-03-26,Alimentação,despesa,881.4,Alimentação — transação automática,Transferência
2022-08-12,Educação,despesa,456.28,Educação — transação automática,Transferência
2022-12-10,Lazer,despesa,46.54,Lazer — transação automática,Boleto
2023-01-17,Saúde,despesa,197.94,Saúde — transação automática,Boleto
2024-03-06,Moradia,despesa,500.02,Moradia — transação automática,Débito
2024-04-06,Salário,receita,4037.41,Salário — transação automática,Cartão de Crédito
2023-12-10,Bônus,receita,4580.14,Bônus — transação automática,Transferência
2024-01-30,Salário,receita,4758.74,Salário — transação automática,Boleto
2023-04-10,Moradia,despesa,778.88,Moradia — transação automática,Débito
2024-09-22,Impostos,despesa,498.16,Impostos — transação automática,Débito
2022-03-10,Alimentação,despesa,443.15,Alimentação — transação automática,Cartão de Crédito
2022-02-03,Assinaturas,despesa,681.01,Assinaturas — transação automática,Transferência
2024-06-01,Transporte,despesa,565.01,Transporte — transação automática,Pix
2023-11-07,Assinaturas,despesa,125.87,Assinaturas — transação automática,Boleto
2023-05-24,Transporte,despesa,298.02,Transporte — transação automática,Boleto
2023-03-17,Alimentação,despesa,249.92,Alimentação — transação automática,Pix
2024-05-18,Saúde,despesa,353.6,Saúde — transação automática,Débito
2023-11-04,Transporte,despesa,711.94,Transporte — transação automática,Débito
2023-05-03,Bônus,receita,4447.82,Bônus — transação automática,Boleto
2022-06-23,Bônus,receita,6878.4,Bônus — transação automática,Boleto
2023-08-22,Freelance,receita,3437.91,Freelance — transação automática,Boleto
2024-07-23,Bônus,receita,5311.47,Bônus — transação automática,Cartão de Crédito
2022-02-14,Lazer,despesa,99.82,Lazer — transação automática,Débito
2024-11-01,Assinaturas,despesa,246.63,Assinaturas — transação automática,Boleto
2022-12-08,Transporte,despesa,822.8,Transporte — transação automática,Transferência
2022-02-12,Educação,despesa,237.32,Educação — transação automática,Transferência
2023-03-02,Vestuário,despesa,338.1,Vestuário — transação automática,Cartão de Crédito
2022-01-28,Moradia,despesa,511.02,Moradia — transação automática,Débito
2022-03-06,Freelance,receita,4951.25,Freelance — transação automática,Boleto
2022-10-12,Bônus,receita,6756.34,Bônus — transação automática,Débito
2022-09-19,Alimentação,despesa,135.19,Alimentação — transação automática,Pix
2023-07-11,Impostos,despesa,443.18,Impostos — transação automática,Pix
2023-04-15,Lazer,despesa,184.64,Lazer — transação automática,Débito
2023-12-06,Assinaturas,despesa,678.08,Assinaturas — transação automática,Transferência
2024-05-08,Manutenção,despesa,316.12,Manutenção — transação automática,Transferência
2022-09-09,Rendimentos,receita,3852.32,Rendimentos — transação automática,Débito
2024-11-10,Alimentação,despesa,283.76,Alimentação — transação automática,Débito
2022-03-28,Vestuário,despesa,651.25,Vestuário — transação automática,Transferência
2024-06-24,Moradia,despesa,632.72,Moradia — transação automática,Pix
2024-08-27,Saúde,despesa,227.67,Saúde — transação automática,Débito
2023-12-02,Impostos,despesa,5.0,Impostos — transação automática,Débito
2022-12-11,Transporte,despesa,40.11,Transporte — transação automática,Cartão de Crédito
2023-01-06,Manutenção,despesa,528.3,Manutenção — transação automática,Cartão de Crédito
2022-12-11,Impostos,despesa,977.84,Impostos — transação automática,Boleto
2024-06-27,Transporte,despesa,621.68,Transporte — transação automática,Débito
2024-06-20,Manutenção,despesa,144.98,Manutenção — transação automática,Cartão de Crédito
2022-02-02,Alimentação,despesa,265.0,Alimentação — transação automática,Pix
2024-03-23,Lazer,despesa,448.79,Lazer — transação automática,Pix
2022-05-30,Salário,receita,8441.91,Salário — transação automática,Boleto
2022-07-03,Bônus,receita,5374.06,Bônus — transação automática,Cartão de Crédito
2023-06-22,Manutenção,despesa,139.14,Manutenção — transação automática,Cartão de Crédito
2022-01-19,Educação,despesa,5.0,Educação — transação automática,Transferência
2023-09-16,Salário,receita,3809.57,Salário — transação automática,Cartão de Crédito
2023-07-13,Impostos,despesa,185.2,Impostos — transação automática,Cartão de Crédito
2023-12-28,Bônus,receita,345.75,Bônus — transação automática,Pix
2024-01-21,Manutenção,despesa,491.32,Manutenção — transação automática,Boleto
2023-08-09,Lazer,despesa,203.9,Lazer — transação automática,Boleto
2024-12-25,Alimentação,despesa,747.92,Alimentação — transação automática,Transferência
2022-03-03,Freelance,receita,5133.9,Freelance — transação automática,Transferência
2022-03-27,Salário,receita,2951.3,Salário — transação automática,Débito
2022-02-13,Rendimentos,receita,4537.73,Rendimentos — transação automática,Transferência
2022-11-09,Moradia,despesa,351.43,Moradia — transação automática,Débito
2023-01-29,Rendimentos,receita,2252.28,Rendimentos — transação automática,Boleto
2022-03-28,Rendimentos,receita,7014.17,Rendimentos — transação automática,Cartão de Crédito
2024-10-20,Freelance,receita,3174.47,Freelance — transação automática,Débito
2023-08-11,Rendimentos,receita,2602.06,Rendimentos — transação automática,Cartão de Crédito
2023-02-27,Saúde,despesa,274.05,Saúde — transação automática,Boleto
2022-12-08,Moradia,despesa,258.22,Moradia — transação automática,Débito
2023-07-25,Impostos,despesa,507.25,Impostos — transação automática,Cartão de Crédito
2023-07-24,Assinaturas,despesa,413.7,Assinaturas — transação automática,Débito
2022-11-26,Salário,receita,5284.94,Salário — transação automática,Cartão de Crédito
2023-03-22,Rendimentos,receita,2926.32,Rendimentos — transação automática,Cartão de Crédito
2023-11-21,Manutenção,despesa,515.24,Manutenção — transação automática,Cartão de Crédito
2023-12-20,Vestuário,despesa,5.0,Vestuário — transação automática,Boleto
2022-07-20,Saúde,despesa,712.43,Saúde — transação automática,Boleto
2022-03-07,Moradia,despesa,313.05,Moradia — transação automática,Boleto
2024-01-17,Assinaturas,despesa,26.15,Assinaturas — transação automática,Cartão de Crédito
2024-11-21,Assinaturas,despesa,272.36,Assinaturas — transação automática,Cartão de Crédito
2022-06-14,Educação,despesa,716.72,Educação — transação automática,Cartão de Crédito
2022-10-27,Saúde,despesa,333.2,Saúde — transação automática,Cartão de Crédito
2023-11-14,Alimentação,despesa,561.33,Alimentação — transação automática,Cartão de Crédito
2023-09-16,Manutenção,despesa,475.8,Manutenção — transação automática,Pix
2024-04-16,Salário,receita,5946.96,Salário — transação automática,Boleto
2024-08-08,Freelance,receita,6975.62,Freelance — transação automática,Débito
2023-01-14,Freelance,receita,3477.43,Freelance — transação automática,Boleto
2022-05-19,Transporte,despesa,335.48,Transporte — transação automática,Boleto
2024-12-07,Manutenção,despesa,654.12,Manutenção — transação automática,Cartão de Crédito
2024-05-19,Impostos,despesa,480.93,Impostos — transação automática,Pix
2022-10-04,Moradia,despesa,186.63,Moradia — transação automática,Transferência
2022-10-31,Transporte,despesa,72.81,Transporte — transação automática,Cartão de Crédito
2022-09-05,Salário,receita,3810.0,Salário — transação automática,Boleto
2023-03-26,Moradia,despesa,241.05,Moradia — transação automática,Pix
2023-05-29,Salário,receita,3951.04,Salário — transação automática,Transferência
2024-03-10,Transporte,despesa,391.13,Transporte — transação automática,Cartão de Crédito
2022-08-05,Saúde,despesa,5.0,Saúde — transação automática,Débito
2024-11-13,Manutenção,despesa,562.14,Manutenção — transação automática,Cartão de Crédito
2022-07-04,Transporte,despesa,330.9,Transporte — transação automática,Débito
2024-07-01,Transporte,despesa,674.36,Transporte — transação automática,Débito
2023-06-28,Bônus,receita,2710.93,Bônus — transação automática,Boleto
2023-05-12,Saúde,despesa,202.73,Saúde — transação automática,Débito
2024-09-09,Lazer,despesa,438.67,Lazer — transação automática,Cartão de Crédito
2022-05-21,Moradia,despesa,313.24,Moradia — transação automática,Débito
2023-02-21,Rendimentos,receita,2641.29,Rendimentos — transação automática,Débito
2023-06-26,Rendimentos,receita,3469.38,Rendimentos — transação automática,Boleto
2023-09-29,Impostos,despesa,200.62,Impostos — transação automática,Pix
2024-02-13,Freelance,receita,9093.75,Freelance — transação automática,Transferência
2022-05-08,Moradia,despesa,694.39,Moradia — transação automática,Cartão de Crédito
2022-03-30,Salário,receita,6993.08,Salário — transação automática,Transferência
2022-03-30,Rendimentos,receita,5933.36,Rendimentos — transação automática,Transferência
2024-07-20,Freelance,receita,5037.06,Freelance — transação automática,Transferência
2024-03-22,Educação,despesa,666.29,Educação — transação automática,Débito
2023-05-31,Transporte,despesa,285.38,Transporte — transação automática,Cartão de Crédito
2024-07-10,Moradia,despesa,451.15,Moradia — transação automática,Débito
